year,date,stage,is_knockout,home_team,away_team,home_goals,away_goals,outcome,attendance
1950,1950-07-01 15:00:00,Group 1,0,Brazil,Serbia,2.0,0.0,home_win,142429.0
1950,1950-07-02 15:00:00,Group 2,0,Spain,England,1.0,0.0,home_win,74462.0
1950,1950-07-02 15:00:00,Group 3,0,Italy,Paraguay,2.0,0.0,home_win,25811.0
1950,1950-07-02 15:00:00,Group 4,0,Uruguay,Bolivia,8.0,0.0,home_win,5284.0
1950,1950-07-02 15:40:00,Group 1,0,Switzerland,Mexico,2.0,1.0,home_win,3580.0
1950,1950-07-02 15:00:00,Group 2,0,Chile,USA,5.0,2.0,home_win,8501.0
1950,1950-07-09 15:00:00,Group 6,0,Uruguay,Spain,2.0,2.0,draw,44802.0
1950,1950-07-09 15:00:00,Group 6,0,Brazil,Sweden,7.0,1.0,home_win,138886.0
1950,1950-07-13 15:00:00,Group 6,0,Brazil,Spain,6.0,1.0,home_win,152772.0
1950,1950-07-13 15:00:00,Group 6,0,Uruguay,Sweden,3.0,2.0,home_win,7987.0
1950,1950-07-16 15:00:00,Group 6,0,Sweden,Spain,3.0,1.0,home_win,11227.0
1950,1950-07-16 15:00:00,Group 6,0,Uruguay,Brazil,2.0,1.0,home_win,173850.0
1954,1954-06-16 18:00:00,Group 3,0,Uruguay,Czech Republic,2.0,0.0,home_win,20500.0
1954,1954-06-16 18:00:00,Group 3,0,Austria,Scotland,1.0,0.0,home_win,25000.0
1954,1954-06-16 18:00:00,Group 1,0,Brazil,Mexico,5.0,0.0,home_win,13470.0
1954,1954-06-16 18:00:00,Group 1,0,Serbia,France,1.0,0.0,home_win,16000.0
1954,1954-06-17 18:00:00,Group 2,0,Germany FR,Turkey,4.0,1.0,home_win,28000.0
1954,1954-06-17 18:00:00,Group 2,0,Hungary,South Korea,9.0,0.0,home_win,13000.0
1954,1954-06-17 18:10:00,Group 4,0,England,Belgium,4.0,4.0,draw,14000.0
1954,1954-06-17 17:50:00,Group 4,0,Switzerland,Italy,2.0,1.0,home_win,43000.0
1954,1954-06-19 16:50:00,Group 3,0,Uruguay,Scotland,7.0,0.0,home_win,34000.0
1954,1954-06-19 17:00:00,Group 3,0,Austria,Czech Republic,5.0,0.0,home_win,26000.0
1954,1954-06-19 17:10:00,Group 1,0,France,Mexico,3.0,2.0,home_win,19000.0
1954,1954-06-19 17:00:00,Group 1,0,Brazil,Serbia,1.0,1.0,draw,24637.0
1954,1954-06-20 16:50:00,Group 2,0,Hungary,Germany FR,8.0,3.0,home_win,56000.0
1954,1954-06-20 17:00:00,Group 2,0,Turkey,South Korea,7.0,0.0,home_win,4000.0
1954,1954-06-20 17:10:00,Group 4,0,England,Switzerland,2.0,0.0,home_win,43500.0
1954,1954-06-20 17:00:00,Group 4,0,Italy,Belgium,4.0,1.0,home_win,24000.0
1954,1954-06-23 18:00:00,Group 2,0,Germany FR,Turkey,7.0,2.0,home_win,17000.0
1954,1954-06-23 18:00:00,Group 4,0,Switzerland,Italy,4.0,1.0,home_win,30000.0
1954,1954-06-26 17:00:00,Quarter-finals,1,Uruguay,England,4.0,2.0,home_win,28000.0
1954,1954-06-26 17:00:00,Quarter-finals,1,Austria,Switzerland,7.0,5.0,home_win,35000.0
1954,1954-06-27 17:00:00,Quarter-finals,1,Germany FR,Serbia,2.0,0.0,home_win,17000.0
1954,1954-06-27 17:00:00,Quarter-finals,1,Hungary,Brazil,4.0,2.0,home_win,40000.0
1954,1954-06-30 18:00:00,Semi-finals,1,Germany FR,Austria,6.0,1.0,home_win,58000.0
1954,1954-06-30 18:00:00,Semi-finals,1,Hungary,Uruguay,4.0,2.0,home_win,45000.0
1954,1954-07-03 17:00:00,Match for third place,1,Austria,Uruguay,3.0,1.0,home_win,32000.0
1954,1954-07-04 17:00:00,Final,1,Germany FR,Hungary,3.0,2.0,home_win,62500.0
1958,1958-06-08 14:00:00,Group 3,0,Sweden,Mexico,3.0,0.0,home_win,34107.0
1958,1958-06-08 19:00:00,Group 4,0,Russia,England,2.0,2.0,draw,49348.0
1958,1958-06-08 19:00:00,Group 1,0,Argentina,Germany FR,1.0,3.0,away_win,31156.0
1958,1958-06-08 19:00:00,Group 3,0,Hungary,Wales,1.0,1.0,draw,15343.0
1958,1958-06-08 19:00:00,Group 2,0,France,Paraguay,7.0,3.0,home_win,16518.0
1958,1958-06-08 19:00:00,Group 2,0,Serbia,Scotland,1.0,1.0,draw,9591.0
1958,1958-06-08 19:00:00,Group 4,0,Brazil,Austria,3.0,0.0,home_win,17788.0
1958,1958-06-08 19:00:00,Group 1,0,Northern Ireland,Czech Republic,1.0,0.0,home_win,10647.0
1958,1958-06-11 19:00:00,Group 4,0,Brazil,England,0.0,0.0,draw,40895.0
1958,1958-06-11 19:00:00,Group 3,0,Mexico,Wales,1.0,1.0,draw,15150.0
1958,1958-06-11 19:00:00,Group 2,0,Paraguay,Scotland,3.0,2.0,home_win,11665.0
1958,1958-06-11 19:00:00,Group 2,0,Serbia,France,3.0,2.0,home_win,12217.0
1958,1958-06-11 19:00:00,Group 4,0,Russia,Austria,2.0,0.0,home_win,21239.0
1958,1958-06-11 19:00:00,Group 1,0,Germany FR,Czech Republic,2.0,2.0,draw,25000.0
1958,1958-06-11 19:00:00,Group 1,0,Argentina,Northern Ireland,3.0,1.0,home_win,14174.0
1958,1958-06-12 19:00:00,Group 3,0,Sweden,Hungary,2.0,1.0,home_win,38850.0
1958,1958-06-15 14:00:00,Group 3,0,Sweden,Wales,0.0,0.0,draw,30287.0
1958,1958-06-15 19:00:00,Group 4,0,Brazil,Russia,2.0,0.0,home_win,50928.0
1958,1958-06-15 19:00:00,Group 1,0,Germany FR,Northern Ireland,2.0,2.0,draw,21990.0
1958,1958-06-15 19:00:00,Group 3,0,Hungary,Mexico,4.0,0.0,home_win,13300.0
1958,1958-06-15 19:00:00,Group 2,0,Paraguay,Serbia,3.0,3.0,draw,13103.0
1958,1958-06-15 19:00:00,Group 2,0,France,Scotland,2.0,1.0,home_win,13554.0
1958,1958-06-15 19:00:00,Group 4,0,England,Austria,2.0,2.0,draw,15872.0
1958,1958-06-15 19:00:00,Group 1,0,Czech Republic,Argentina,6.0,1.0,home_win,16418.0
1958,1958-06-17 19:00:00,Group 4,0,Russia,England,1.0,0.0,home_win,23182.0
1958,1958-06-17 19:00:00,Group 1,0,Northern Ireland,Czech Republic,2.0,1.0,home_win,6196.0
1958,1958-06-17 19:00:00,Group 3,0,Wales,Hungary,2.0,1.0,home_win,2823.0
1958,1958-06-19 19:00:00,Quarter-finals,1,Brazil,Wales,1.0,0.0,home_win,25923.0
1958,1958-06-19 19:00:00,Quarter-finals,1,Germany FR,Serbia,1.0,0.0,home_win,20055.0
1958,1958-06-19 19:00:00,Quarter-finals,1,Sweden,Russia,2.0,0.0,home_win,31900.0
1958,1958-06-19 19:00:00,Quarter-finals,1,France,Northern Ireland,4.0,0.0,home_win,11800.0
1958,1958-06-24 19:00:00,Semi-finals,1,Sweden,Germany FR,3.0,1.0,home_win,49471.0
1958,1958-06-24 19:00:00,Semi-finals,1,Brazil,France,5.0,2.0,home_win,27100.0
1958,1958-06-28 17:00:00,Match for third place,1,France,Germany FR,6.0,3.0,home_win,32483.0
1958,1958-06-29 15:00:00,Final,1,Brazil,Sweden,5.0,2.0,home_win,49737.0
1962,1962-05-30 15:00:00,Group 1,0,Uruguay,Colombia,2.0,1.0,home_win,7908.0
1962,1962-05-30 15:00:00,Group 3,0,Brazil,Mexico,2.0,0.0,home_win,10484.0
